title,Year,Duration,Genere,Rating,Release Date
Amélie ,2001,,Comedy,8.3,Romance
Lawrence of Arabia ,1962,,Adventure,8.3,Biography
Ikiru ,1952,,Drama,8.3,"25 March 1956 (USA)
"
Toy Story 3 ,2010,,Animation,8.3,Adventure
Taxi Driver ,1976,,Crime,8.3,Drama
Scarface ,1983,142 min,Crime,8.3,Drama
Come and See ,1985,2h 22min,Drama,8.3,Thriller
North by Northwest ,1959,,Adventure,8.3,Mystery
Snatch ,2000,,Comedy,8.3,Crime
A Clockwork Orange ,1971,,Crime,8.3,Drama
The Kid ,1921,,Comedy,8.3,Drama
Singin' in the Rain ,1952,,Comedy,8.3,Musical
Full Metal Jacket ,1987,,Drama,8.3,War
Dangal ,2016,,Action,8.4,Biography
The Hunt ,2012,,Drama,8.3,"10 January 2013 (Denmark)
"
Citizen Kane ,1941,,Drama,8.3,Mystery
Eternal Sunshine of the Spotless Mind ,2004,,Drama,8.3,Romance
M ,1931,,Crime,8.3,Mystery
Vertigo ,1958,,Mystery,8.3,Romance
Bicycle Thieves ,1948,,Drama,8.3,"13 December 1949 (USA)
"
2001: A Space Odyssey ,1968,142 min,Adventure,8.3,Sci-Fi
Reservoir Dogs ,1992,,Crime,8.3,Drama
Requiem for a Dream ,2000,,Drama,8.3,"15 December 2000 (USA)
"
Like Stars on Earth ,2007,,Drama,8.4,Family
Good Will Hunting ,1997,,Drama,8.3,Romance
1917 ,2019,,Drama,8.3,War
Amadeus ,1984,,Biography,8.3,Drama
Star Wars: Episode VI - Return of the Jedi ,1983,,Action,8.3,Adventure
Capernaum ,2018,,Drama,8.4,"20 September 2018 (Lebanon)
"
Inglourious Basterds ,2009,,Adventure,8.3,Drama
High and Low ,1963,,Crime,8.4,Drama
Toy Story ,1995,,Animation,8.3,Adventure
3 Idiots ,2009,,Comedy,8.4,Drama
Das Boot ,1981,,Adventure,8.3,Drama
Braveheart ,1995,,Biography,8.3,Drama
American Beauty ,1999,,Drama,8.3,"1 October 1999 (USA)
"
Your Name. ,2016,,Animation,8.4,Drama
Aliens ,1986,,Action,8.3,Adventure
Raiders of the Lost Ark ,1981,,Action,8.4,Adventure
